category	name	google_place_id	invStored	invName
nightlife	Duffy's Tavern	ChIJRx84mDcQw4gRKtrCMDQYYu4	food	Duffy's Tavern, Bar, and Grill
nightlife	Ed's Tavern	ChIJB8ystAE5w4gRJqnBOZatjbo	food	Ed's Tavern Lakewood Ranch
nightlife	Evie's at Spanish Point	ChIJ6YrsjG1Dw4gRx2n3asrY5CI	food	Evie's at Spanish Point - The Tiki
nightlife	Freckled Fin Irish Pub	ChIJSanPezYQw4gRQ_J4ZhPSxsE	food	Freckled Fin Irish Pub
nightlife	Good Liquid Brewing Company	ChIJyYi3Yw4Ww4gRaJbXtbjk_oc	food	Good Liquid Brewing Company
nightlife	Island Time Bar And Grill	ChIJ_U2dP5sRw4gR-_tmR-8YCik	food	Island Time Bar and Grill
nightlife	Mattison's Riverwalk Grille Bradenton	ChIJ2SjpRNYXw4gR5JpR_vrc0As	food	Mattison's Riverwalk
nightlife	Miller's Ale House - Sarasota	ChIJ2dJQTh5Hw4gRjGYbxXAKzH0	food	Miller's Ale House
nightlife	O'Bricks Irish Pub & Martini Bar	ChIJqQsqj80Xw4gRev0L3y4_-lM	food	O'bricks Irish Pub & Martini Bar
nightlife	Oak & Stone	ChIJASGZttk4w4gRJaBZXzV3-Fw	food	Oak & Stone
nightlife	Pop's Sunset Grill	ChIJvYtWPXtbw4gRsWlOnut5anE	food	Pop's Sunset Grill
nightlife	Seasons 52	ChIJMUIBZec4w4gRDF221EwsnpA	food	Seasons 52
nightlife	Sharky's On the Pier	ChIJnXtixd5bw4gRxq8VhqIqo3I	food	Sharky's On the Pier
nightlife	Siesta Key Oyster Bar	ChIJZ1H_nAlqw4gR_UpQduXUfGg	food	Siesta Key Oyster Bar
nightlife	Speaks Clam Bar	ChIJMcjFv2E5w4gRtdGiiHV-saw	food	Speaks Clam Bar - Italian & Seafood - Lakewood Ranch
nightlife	T. J. Carney's	ChIJJf-bNbtbw4gRHZIUmtfxsIM	food	T J Carney's
nightlife	The Doctor's Office	ChIJ60T1ZDYQw4gRNKW_LKTOnL0	food	The Doctor's Office
nightlife	The Greyson	ChIJc4nsMiojw4gRqqf6JDsI3GU	food	The Greyson - Palmetto
nightlife	The Kokonut Hut	ChIJSwkmjpkRw4gRSkHtkHlTv_U	food	The Kokonut Hut
nightlife	The Point	ChIJaZ8tIKZDw4gRP-YZWJzb2jY	food	The Point Waterfront Restaurant - Evie’s On The Bay
nightlife	Tide Tables Restaurant and Marina	ChIJ6fLbnXYRw4gRoW_2igruY88	food	Tide Tables Restaurant and Marina
nightlife	Venice Train Depot	ChIJoTIjN65bw4gRDOEwKSfIDs8	attractions	1927 Historic Venice Train Depot
nightlife	Whitney’s Bodega & Bar	ChIJeyPculwTw4gRbxuhyyX74rE	food	Whitney's
nightlife	mad moe's	ChIJOYShpHFDw4gRUEvjMqj0m0M	food	Mad Moe's Sports Pub & Grill
shopping	BJ's Wholesale Club	ChIJMxR-xx85w4gRK3VcX8JFeo0	food	BJ's Wholesale Club
shopping	Creekside Commons	ChIJay8TEmElw4gRmgRP3SXl7eM	food	Good Liquid Brewing - Parrish Creekside Commons
shopping	Ideal Classic Cars	ChIJLY-6uJZDw4gR-Pkv4_VCH84	attractions	Ideal Classic Cars
shopping	Osprey Marina	ChIJnxza3ENDw4gRvHdrrlrcTFI	beach	Osprey Marina
shopping	Publix	ChIJl_oTcr07w4gRdviPCpmKZEY	food	Publix Super Market at White Eagle
shopping	Wawa	ChIJEz2aovo8w4gR7-a6QCBaULE	food	Wawa
shopping	Wawa	ChIJLwykE35Qw4gRS50pL4BuL5o	food	Wawa
shopping	Wawa	ChIJ1bgQOiNBw4gRaLJEzdXdWgY	food	Wawa
